CAS,FOUND_BY,DTXSID,PREFERRED_NAME,AVERAGE_MASS,MOLECULAR_FORMULA,BIOCONCENTRATION_FACTOR_TEST_PRED,BOILING_POINT_DEGC_TEST_PRED,48HR_DAPHNIA_LC50_MOL/L_TEST_PRED,DENSITY_G/CM^3_TEST_PRED,DEVTOX_TEST_PRED,96HR_FATHEAD_MINNOW_MOL/L_TEST_PRED,FLASH_POINT_DEGC_TEST_PRED,MELTING_POINT_DEGC_TEST_PRED,AMES_MUTAGENICITY_TEST_PRED,ORAL_RAT_LD50_MOL/KG_TEST_PRED,SURFACE_TENSION_DYN/CM_TEST_PRED,THERMAL_CONDUCTIVITY_MW/(M*K)_TEST_PRED,TETRAHYMENA_PYRIFORMIS_IGC50_MOL/L_TEST_PRED,VISCOSITY_CP_CP_TEST_PRED,VAPOR_PRESSURE_MMHG_TEST_PRED,WATER_SOLUBILITY_MOL/L_TEST_PRED,ATMOSPHERIC_HYDROXYLATION_RATE_(AOH)_CM3/MOLECULE*SEC_OPERA_PRED,BIOCONCENTRATION_FACTOR_OPERA_PRED,BIODEGRADATION_HALF_LIFE_DAYS_DAYS_OPERA_PRED,BOILING_POINT_DEGC_OPERA_PRED,HENRYS_LAW_ATM-M3/MOLE_OPERA_PRED,OPERA_KM_DAYS_OPERA_PRED,OCTANOL_AIR_PARTITION_COEFF_LOGKOA_OPERA_PRED,SOIL_ADSORPTION_COEFFICIENT_KOC_L/KG_OPERA_PRED,OCTANOL_WATER_PARTITION_LOGP_OPERA_PRED,MELTING_POINT_DEGC_OPERA_PRED,OPERA_PKAA_OPERA_PRED,OPERA_PKAB_OPERA_PRED,VAPOR_PRESSURE_MMHG_OPERA_PRED,WATER_SOLUBILITY_MOL/L_OPERA_PRED
3622-84-2,CASRN,DTXSID7027540,N-Butylbenzenesulfonamide,213.3,C10H15NO2S,5.72796,N/A,N/A,1.211,0.915,N/A,199.924,109.609,-0.032,0.00582103,N/A,N/A,N/A,N/A,5.04661E-05,0.00638263,1.29E-11,3.60671,4.31918,313.949,1.65E-07,0.0969401,8.465,86.4384,2.00343,67.0178,N/A,N/A,4.60635E-06,0.00890297
360-68-9,CASRN,DTXSID1052036,Coprosterol,388.68,C27H48O,1224.62,392.043,2.83139E-06,0.9,0.937,3.94E-07,203.985,125.408,0.047,0.00363078,37.931,N/A,N/A,N/A,1.42E-07,3.41E-07,1.18E-11,1487.94,258.079,377.037,1.65E-07,14.2241,10.4327,95542.5,8.76246,143.083,N/A,N/A,3.60E-08,0.000006146
357399-43-0,CASRN,DTXSID90431622,Hydroxy Bupropion,255.74,C13H18ClNO2,139.959,331.642,6.96627E-05,1.154,0.595,5.92925E-05,192.905,83.489,0.245,0.00139959,41.721,149.046,0.000113763,18.4502,1.80302E-06,0.000398107,1.64E-11,50.1891,5.32399,310.194,1.47E-09,0.139896,8.18145,176.861,2.13416,128.216,N/A,N/A,8.85443E-05,0.000348473
3567-62-2,CASRN,DTXSID3042180,"N-(3,4-Dichlorophenyl)-N'-methylurea",219.07,C8H8Cl2N2O,11.3501,304.577,1.52055E-05,1.394,0.572,6.39735E-05,160.587,132.312,0.032,0.00568853,N/A,N/A,N/A,N/A,1.05E-07,0.000570164,1.12E-11,28.401,3.52572,264.57,2.11E-09,0.152962,8.376,288.103,2.93813,204.37,N/A,N/A,2.20682E-06,0.000492746
35367-38-5,CASRN,DTXSID1024049,Diflubenzuron,310.68,C14H9ClF2N2O2,29.7852,414.58,1.50661E-06,1.501,0.872,4.76431E-06,246.27,203.265,0.326,0.00591562,N/A,N/A,N/A,N/A,4.52E-09,1.21619E-06,1.06E-11,158.674,3.5341,263.086,7.99E-11,0.259159,9.39837,6742.19,3.87716,238.964,N/A,N/A,8.96E-10,4.01E-07
35211-10-0,CASRN,DTXSID40891434,Norketamine,223.7,C12H14ClNO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.57E-11,40.5962,6.25108,313.321,1.53E-09,0.157713,9.39516,172.06,2.34513,136.336,N/A,N/A,2.07455E-05,0.00341416
35045-02-4,CASRN,DTXSID0052839,Metribuzin-DA,199.27,C8H13N3OS,4.93174,N/A,2.18776E-05,1.205,0.638,N/A,146.598,135.543,N/A,0.000187068,N/A,N/A,N/A,N/A,1.68655E-05,0.00726106,1.85E-11,4.16933,3.6489,324.627,2.05E-08,0.0883753,7.77307,75.6753,1.7639,137.854,N/A,N/A,1.90226E-06,0.044241
34911-55-2,CASRN,DTXSID7022706,Bupropion,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
34841-39-9,Deleted CAS-RN,DTXSID7022706,Bupropion,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
346-18-9,CASRN,DTXSID6025939,Polythiazide,439.87,C11H13ClF3N3O4S3,1.85353,N/A,N/A,1.658,0.533,N/A,315.842,205.496,N/A,N/A,N/A,N/A,N/A,N/A,1.07E-09,9.48418E-05,1.39E-11,2.63642,7.83741,289.438,2.17E-11,0.45637,9.211,99.4107,1.90034,214.007,N/A,N/A,8.83E-12,0.000312595
